,taxon,structural_zero (Microcompartment = Endosphere),structural_zero (Microcompartment = Phyllosphere),structural_zero (Microcompartment = Rhizosphere)
7276,ASV9313,TRUE,FALSE,TRUE
7277,ASV9314,TRUE,FALSE,TRUE
7278,ASV9315,TRUE,FALSE,TRUE
7279,ASV9317,TRUE,FALSE,TRUE
7280,ASV9318,FALSE,TRUE,TRUE
7281,ASV9319,FALSE,TRUE,TRUE
7282,ASV9325,TRUE,TRUE,FALSE
7283,ASV9327,TRUE,TRUE,FALSE
7284,ASV9328,TRUE,TRUE,FALSE
7285,ASV9329,TRUE,TRUE,FALSE
7286,ASV9330,TRUE,TRUE,FALSE
7287,ASV9332,TRUE,TRUE,FALSE
7288,ASV9333,TRUE,TRUE,FALSE
7289,ASV9334,TRUE,TRUE,FALSE
7290,ASV9335,TRUE,FALSE,FALSE
7291,ASV9336,TRUE,TRUE,FALSE
7292,ASV9337,FALSE,TRUE,FALSE
7293,ASV9338,TRUE,TRUE,FALSE
7294,ASV9339,TRUE,TRUE,FALSE
7295,ASV9340,TRUE,TRUE,FALSE
7296,ASV9341,TRUE,TRUE,FALSE
7297,ASV9342,TRUE,TRUE,FALSE
7298,ASV9345,FALSE,TRUE,FALSE
7299,ASV9346,TRUE,TRUE,FALSE
7300,ASV9348,TRUE,TRUE,FALSE
7301,ASV9349,TRUE,TRUE,FALSE
7302,ASV9350,TRUE,TRUE,FALSE
7303,ASV9351,TRUE,TRUE,FALSE
7304,ASV9352,TRUE,TRUE,FALSE
7305,ASV9354,FALSE,TRUE,TRUE
7306,ASV9355,FALSE,FALSE,TRUE
7307,ASV9356,FALSE,TRUE,TRUE
7308,ASV9357,TRUE,FALSE,TRUE
7309,ASV9358,TRUE,FALSE,TRUE
