taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy),structural_zero,lfc_(Intercept),lfc_Soil.originSoilB,lfc_Plant.conditionHealthy,se_(Intercept),se_Soil.originSoilB,se_Plant.conditionHealthy,W_(Intercept),W_Soil.originSoilB,W_Plant.conditionHealthy,p_(Intercept),p_Soil.originSoilB,p_Plant.conditionHealthy,q_(Intercept),q_Soil.originSoilB,q_Plant.conditionHealthy,diff_(Intercept),diff_Soil.originSoilB,diff_Plant.conditionHealthy,passed_ss_(Intercept),passed_ss_Soil.originSoilB,passed_ss_Plant.conditionHealthy,
5161,ASV11537,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5162,ASV11539,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5163,ASV11540,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5164,ASV11553,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5165,ASV11586,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5166,ASV11596,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5167,ASV11597,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5168,ASV11598,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5169,ASV11601,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5170,ASV11625,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5171,ASV11626,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
5172,ASV11629,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5173,ASV11630,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
