"","Kingdom","Phylum","Class","Order","Family","Genus"
"17c4dcb211daab747bbbcec5ff7da1f9","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"fa764b62aef491a1b03644569e7c6d1e","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"806113c641371c558cdbf0033e8b4fab","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"021ad6d9b5511ac6d6d3464d687c72e8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"3bdbeba331dfd21936cbff0d013e359e","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"be5fae2edc4fcf2a4371cfdd8fee7235","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Peptoniphilus"
"bcf1572318f4094da48f894ab4098f5a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"188453abcd5842b31a90ee0dae401da4","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"7d820d8d9cfd74abec8181ca881fa211","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA
"b218c70b0c3a35b3ccf16dc1ced0f54c","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"8a49676145f2f68dbd136bdc787b174e","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"d4820531018017d6d81c80eddefa983c","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Ovatusbacter"
"590e3fe19b80d7bb55429437d1cbbfd9","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Ga0074140"
"33fb86ca87c6dd5909b1328376e11231","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Amnipila"
"2e36627ca3fb13629b14763d2e20f756","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"7d6ceac3ecb0861f29cbe3d111e8502b","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae",NA
"c5a10ca32c0e66e53f26eb08a99fa347","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"ce6b628a1907ef469fd290d0a80ce1af","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"78eefcfd08efb2507ce380ed52ad0a28","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"109200776446526e19de082857dc5086","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA
"9a61fade206af853911fbe05e3f76d53","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409",NA
"3c89f7687d358f84d1da918409e218bd","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93",NA
"017a13ec83a72d416fcaeca14d592cd2","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas"
"59431a378c708c3d2458d4e28ce03437","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"6247badbee482de832362819fe6df1f7","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"a766f2a87b079ca358fa96aaaf7d7c8f","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Arboricoccus"
"70bcc9e61a86480d9ca37847b83aa49b","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"f04729c3c70993fb9f32a376aa330b62","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family",NA
"9bbbdb13420986ffa74ac206a0ebc130","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group"
"c6433d306929b5abefca22ab96ef31ec","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Nannocystis"
"85c67e7635dac4e1f4a5847050a725bc","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"2100f684de3dbc5b60c94f3de47111ef","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"585405e0d11dedd9fc9cc30a424db297","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"cfa64d3e7eea6f4d49d206b4db04bc67","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"8b3096b4b809f8f9c0fd1ab7d3cc2dfe","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"3f7f6f086c4832155286bd465d486419","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae",NA
"5af8c3fb5cfc081df97f7a2fb6c4c170","Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA
"43fc7a6e0c8b1ae906486410eb67f6e2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"fd028e37d97d1786ae96ecc2b340c3f0","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"736a62f56a0191b69f5acd20d5259325","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"199b89f66cc606e5130326495f355f4a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Cardinium"
"bdee8f7eb69b2d9d2b898a713940e4b2","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA
"6960baac61f120cf47491a0abb00bdac","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"75b9d98c3550d192f4f4332495ddf922","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"bb8c2a9765ec83f85c6ba33816f0cdfe","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"60359eef622f0b523cc68c1ba85c8984","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA
