"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV111"	395	541	454	559	0	0	0	0	0	0	0	49	119	102	0	0	341	407	481	434	0	135	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	41	0	104	159	0
"ASV114"	146	110	108	228	116	0	0	0	39	0	0	0	135	91	146	249	106	76	107	114	140	776	210	153	53	0	83	0	91	0	118	159	0	0	68	0	100	117	235	219	0	0	27	0	0	0	52	0
"ASV115"	498	375	460	595	0	0	0	0	0	0	0	0	53	0	0	55	330	370	539	340	0	115	79	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	102	0	79	165	0
"ASV117"	81	0	70	81	120	0	90	0	0	0	0	0	169	101	157	241	87	64	74	0	127	386	217	165	97	0	110	0	155	177	191	177	0	51	208	0	255	151	140	366	0	0	0	0	0	0	40	0
"ASV120"	98	0	0	0	0	0	0	0	70	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	1039	173	71	0	0	0	0	0	0	0	391	0	19	0	0	54	0	103	139	0	0	1180	363	178
"ASV121"	258	125	0	120	0	0	0	88	0	0	0	0	0	135	57	166	142	0	0	143	105	108	94	0	87	0	68	421	0	0	0	355	157	0	98	106	0	754	49	0	0	0	0	136	0	160	153	155
"ASV122"	0	0	0	0	0	0	0	0	0	0	0	0	87	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	200	3538	0	0	87	0	0	0	0	77	0	0	0	0
"ASV123"	398	92	154	65	95	0	144	122	0	81	37	357	0	0	0	99	146	0	140	55	0	82	0	0	272	104	107	0	0	0	11	0	0	0	73	0	0	134	24	97	246	0	162	170	14	0	402	318
"ASV124"	345	244	242	338	0	0	0	0	0	0	0	0	259	143	194	263	195	266	247	226	209	447	314	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV125"	216	128	157	219	0	0	0	0	0	0	0	0	212	167	241	215	66	119	140	175	214	850	348	182	178	0	112	131	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	26
"ASV126"	503	418	469	537	0	0	0	0	0	0	0	0	0	0	0	0	368	358	526	385	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	78	69	0	67	103	94
"ASV129"	305	216	241	307	0	0	0	0	0	0	0	0	140	115	198	239	227	193	247	205	119	385	214	137	140	0	86	84	0	0	6	0	17	0	0	0	0	0	0	0	0	0	63	0	0	0	0	94
"ASV130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1054	1062	350	179	0	0	0	2	331	210	532	211	0	0	0	0
"ASV131"	0	54	56	81	0	0	77	0	0	0	0	0	83	84	63	69	92	72	246	100	103	127	79	64	329	110	220	66	0	72	0	0	0	0	417	0	0	130	80	75	60	99	300	399	32	0	130	0
